,Bus Stop Name,Rajiv Gandhi,Mata Gujri,Vishnupuri,Bhanwarkuan Square,Holkar Subway,Navlakha Square,Indra Pratima,GPO,Shivaji Vatika,AICTSL,Geeta Bhawan,Palasiya,Industry House,LIG,Press Complex,MR-9,Vijay Nagar,Satya Sai,Shalimar Township,Scheme No. 78,Niranjanpur Square,Before Entering,Boarding From Station,Got Off,Demand,Hourly Demand,Mean,SD= Passanger Capacity + 3* Mean,SD=  Passanger Capacity -  3* Mean,Buses Required maximum,Buses Required minmum,Buses Average,
17.0,Vijay Nagar,29.9856555564307,23.034426466918614,13.369390566119369,220.02657929716008,39.237727804940093,121.53007182685769,46.401272727457993,201.05768561393407,50.176392803354886,48.587421257432538,174.06965086306326,286.56632931981682,56.697595353384564,213.65222706275628,27.26617885893652,161.83198436449231,0,16.04581155250472,28.088628528535665,44.591996798400174,42.891974173336862,1716.0667833539333,131.61841105277742,793.93215039428492,1053.7530440124258,263.43826100310645,52.687652200621294,421.50121760497029,105.37530440124257,8,2,5,Vijay Nagar
18.0,Satya Sai,6.7027002214566931,6.2427418757740583,8.5551018521257234,38.277076113737337,16.232391350536304,21.274758687761949,11.824429115152412,23.440710988953622,11.27359693052116,16.350021070609969,43.841638124780644,29.353717303605912,17.626688892992483,26.944354136565057,3.9038011713299756,21.847408761268149,15.419650998551552,0,11.810231922115888,10.026275882982892,10.175389717950866,1053.7530440124258,32.011897523049647,176.82157500350019,908.94336653197524,227.23584163299381,45.447168326598764,363.57734661279011,90.894336653197513,7,2,4,Satya Sai
19.0,Shalimar Township,15.194929088927358,8.0353731111362645,6.8461802050476219,29.943246587023722,19.863574810366856,19.425906915776388,11.4391432765715,43.207525664558268,13.482766344919444,25.059572992074958,55.742003261804442,38.641327089375999,12.411252786036897,49.756928361522647,11.983329459638087,31.771757186363374,23.535318819207909,6.689696168951671,0,8.4313876558903544,15.549590837120189,908.94336653197524,23.980978493010543,225.26555509538426,707.65878992960154,176.91469748240038,35.382939496480077,283.06351597184062,70.765878992960154,6,1,3,Shalimar Township
20.0,Scheme No. 78,26.114332335545257,10.679236646992797,7.4352440725799838,84.604361780155401,24.937744667082885,42.382795701865582,12.794154938896963,35.836122297654583,16.902793584321785,34.385598917908489,40.773914840564061,70.354987441205637,35.574498656075697,70.694805739318781,9.7592142420317209,45.080975210742601,38.3461001365201,7.9603516892747122,13.891906164060947,0,22.114391965582502,707.65878992960154,22.114391965582502,333.72630587087281,396.04687602431125,99.011719006077811,19.802343801215564,158.41875040972451,39.60468760243112,3,1,2,Scheme No. 78
21.0,Niranjanpur Square,20.112299801898011,8.8849221941640568,9.1350768533770825,62.561832230953286,20.771474726954352,28.962034801277042,27.439238769511238,56.025184596547852,16.092209620809243,28.206056627484248,84.912526462849456,45.382544424553437,16.546836183027683,50.999741788477536,15.604231908080475,44.526155517728682,39.694877650328131,9.92671119257162,17.031127030112067,25.11534586971392,0,396,0,395.1575703672828,0,,,,,,,,Niranjanpur Square
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Time taken from end to end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Average speed,,,,,Duration,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.426666666666668,km/hr,,,,4,hrs,,,,,,,,f,,,,,,,,,,,,,,,,
